"country";"offences";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Australia";"Sexual offenses, total";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Crimes of violence, total";0;0;0;1;1;0;0;1;1;0;1;1;0;0
"Australia";"Assault against public servant while in discharge of his duties";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Australia";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Common assault";0;0;0;1;0;0;0;1;1;0;1;1;0;0
"Australia";"Grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Threats";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Offenses against property, total";2;0;2;1;0;3;5;4;6;3;3;0;2;2
"Australia";"Forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Burglary (banks, shops, etc.)";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Household burglary";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Burglary (uninhabited buildings)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Shoplifting, etc.";1;0;0;1;0;3;4;4;4;3;2;0;2;1
"Australia";"Other theft";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Australia";"Theft of vehicle";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Theft of bicycles";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Theft of other objects";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Larceny by finding";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Fraud";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"Australia";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Handling stolen goods";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Australia";"Robbery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Malicious damage to property";1;0;1;0;0;0;1;0;0;0;0;0;0;0
"Australia";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Other offences, total";1;0;0;0;0;0;1;0;0;0;0;0;0;0
"Australia";"Offences against public authority, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Perjury, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Offences concerning money and evidence";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Trafficking of drugs, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Smuggling, etc. of drugs";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Family relation offences";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Australia";"Homicide by negligence in traffic accidents";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Warnings";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Privacy infringement, defamation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Trafic law, total";15;17;21;19;18;18;20;16;14;16;20;26;12;28
"Australia";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Traffic acc. under influence of alcohol";0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Australia";"Drunken driving";1;0;1;1;0;1;1;0;2;0;2;0;2;2
"Australia";"Vehicle defect offences";0;1;1;1;0;0;1;1;0;0;0;0;0;0
"Australia";"Road Traffic Act, other";14;16;19;17;18;17;18;15;11;16;18;26;10;26
"Australia";"Special laws, total";1;0;1;3;5;3;2;14;7;4;9;10;8;7
"Australia";"Euphoriants Act";0;0;1;0;1;1;0;1;1;0;0;2;0;2
"Australia";"Firearms Act";1;0;0;0;0;0;0;1;0;0;2;1;0;0
"Australia";"Income Tax And Fiscal Acts";0;0;0;0;0;1;0;0;0;0;1;0;0;0
"Australia";"Other special laws.";0;0;0;3;4;1;2;10;5;2;3;5;5;3
"Australia";"Health and social security legislation";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Australia";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Environmental Act";0;0;0;0;0;0;0;0;0;0;0;0;2;2
"Australia";"Other legislation applying to animals, hunting, etc";0;0;0;0;0;0;0;1;0;0;1;0;0;0
"Australia";"Employ. and transport legislation, other";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Australia";"Companies Act";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;0;1;1;1;1;2;0;0
"Australia";"Legislation applying to public utilities";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Australia";"Other legislation relating to gambling, licencing, trade";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Australia";"Other special laws";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Criminal decisions total";946;973;1092;1176;1233;1354;1453;1486;1555;1700;2093;2322;2494;2417
"Other countries, total";"Criminal code, total";340;388;388;395;379;380;394;423;402;456;445;497;484;527
"Other countries, total";"Sexual offenses, total";1;9;4;9;3;8;10;17;18;13;17;28;25;24
"Other countries, total";"Incest, etc.";0;3;0;1;0;0;0;0;0;0;0;0;0;1
"Other countries, total";"Rape, etc";0;4;2;3;1;4;3;13;7;7;5;2;4;4
"Other countries, total";"Heterosexual offences with children under 12 years";0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;1;0;1;0;1;0;1;0
"Other countries, total";"Heterosexual offences, other";0;1;0;1;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;1;1;1;1;0;1;1;0;0
"Other countries, total";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;1;1;0;2;3;1;0
"Other countries, total";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Offences against decency, by  pawing";1;0;0;1;1;1;3;0;4;3;3;6;5;3
"Other countries, total";"Offences against decency, by removing clothes";0;0;0;2;0;1;2;1;1;1;0;1;0;3
"Other countries, total";"Offences against decency, other";0;0;0;0;0;0;0;1;3;2;3;4;2;4
"Other countries, total";"Prostitution, etc.";0;0;1;1;1;1;0;0;0;0;2;11;12;9
"Other countries, total";"Crimes of violence, total";83;104;96;92;93;79;84;94;126;135;141;157;133;134
"Other countries, total";"Assault against public servant while in discharge of his duties";29;28;14;20;24;19;24;34;23;30;34;49;40;37
"Other countries, total";"Disturbance of public order";1;1;0;0;0;1;0;0;0;0;1;0;0;3
"Other countries, total";"Homicide";0;0;0;0;0;0;1;1;1;1;0;1;0;1
"Other countries, total";"Attempted homicide";0;1;0;1;1;0;1;3;0;0;3;1;2;0
"Other countries, total";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Common assault";39;48;53;45;40;42;40;37;76;68;77;73;56;64
"Other countries, total";"Grievous assault";9;9;17;11;18;8;9;7;11;25;16;18;18;18
"Other countries, total";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Other countries, total";"Other offences against life and limb";1;1;3;0;2;3;1;0;2;0;0;1;3;0
"Other countries, total";"Offences against personal liberty";1;4;1;3;0;2;1;1;1;0;1;0;0;2
"Other countries, total";"Threats";3;12;8;12;8;4;7;11;12;10;9;14;14;9
"Other countries, total";"Offenses against property, total";233;268;268;282;267;276;292;283;243;296;280;304;296;334
"Other countries, total";"Forgery";4;7;15;16;8;11;15;6;12;15;8;18;7;8
"Other countries, total";"Cheque forgery";0;1;0;0;1;0;0;0;0;1;0;0;0;0
"Other countries, total";"Arson";2;2;3;1;2;1;1;1;2;1;2;4;3;2
"Other countries, total";"Burglary (banks, shops, etc.)";2;12;7;7;8;1;11;9;5;4;8;5;3;2
"Other countries, total";"Household burglary";8;11;10;16;12;10;10;6;3;4;6;8;8;4
"Other countries, total";"Burglary (uninhabited buildings)";0;2;1;1;2;2;1;3;0;0;1;1;0;0
"Other countries, total";"Theft from cars, boats, etc.";0;3;1;1;1;0;0;0;0;1;1;2;5;1
"Other countries, total";"Shoplifting, etc.";124;133;131;145;135;157;154;150;119;179;166;158;142;190
"Other countries, total";"Other theft";34;29;32;21;30;21;28;30;25;17;23;20;14;20
"Other countries, total";"Theft of vehicle";4;5;2;4;4;4;3;3;4;5;2;5;5;6
"Other countries, total";"Theft of mopeds";3;3;1;1;0;1;1;0;0;1;2;1;0;1
"Other countries, total";"Theft of bicycles";4;4;3;2;5;3;1;4;3;7;3;4;2;1
"Other countries, total";"Theft of other objects";4;4;4;3;4;1;4;2;0;2;1;1;1;3
"Other countries, total";"Larceny by finding";1;5;2;6;5;3;6;1;4;3;2;5;4;2
"Other countries, total";"Embezzlement";0;0;2;1;0;0;2;1;2;1;2;1;1;3
"Other countries, total";"Fraud";12;14;14;15;19;18;14;31;22;14;22;25;42;40
"Other countries, total";"Fraud by cheque";0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Fraud of agent";0;1;0;1;1;1;0;2;0;1;0;1;0;0
"Other countries, total";"Blackmail and usury";1;0;1;1;0;1;0;0;0;3;1;1;1;1
"Other countries, total";"Fraud against creditors";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"Other countries, total";"Handling stolen goods";3;4;12;10;7;9;14;9;15;7;4;5;14;13
"Other countries, total";"Robbery";18;12;12;16;13;13;11;8;12;9;9;15;17;12
"Other countries, total";"Gross tax evasion, etc.";0;2;1;0;0;0;0;2;2;0;0;0;0;0
"Other countries, total";"Malicious damage to property";8;14;14;11;9;14;12;11;11;20;11;18;21;19
"Other countries, total";"Feloniously receiving stolen goods";0;0;0;0;1;1;0;0;0;0;0;0;0;0
"Other countries, total";"Misappropriations and offences against property";1;0;0;2;0;4;4;3;2;1;6;6;6;5
"Other countries, total";"Other offences, total";31;36;39;32;35;38;26;49;34;39;32;39;59;61
"Other countries, total";"Offences against public authority, etc.";8;11;14;15;8;18;7;14;7;20;10;23;24;29
"Other countries, total";"Offences by public servants";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Other countries, total";"Perjury";0;1;1;0;0;2;0;1;0;1;0;0;2;0
"Other countries, total";"Perjury, other";6;5;8;4;8;5;11;13;13;3;4;4;10;8
"Other countries, total";"Offences concerning money and evidence";3;2;5;4;1;3;1;5;3;3;6;0;2;3
"Other countries, total";"Trafficking of drugs, etc.";3;5;5;3;5;1;3;7;3;3;2;2;8;10
"Other countries, total";"Smuggling, etc. of drugs";3;4;0;2;2;1;0;0;0;1;1;1;0;1
"Other countries, total";"General public offences";4;1;0;2;2;0;0;5;1;2;1;0;1;3
"Other countries, total";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Family relation offences";1;1;0;0;0;1;0;0;0;0;0;0;0;1
"Other countries, total";"Homicide by negligence in traffic accidents";0;1;0;0;1;2;1;1;0;1;1;1;1;1
"Other countries, total";"Warnings";1;0;1;1;2;1;0;0;0;0;0;0;0;0
"Other countries, total";"Privacy infringement, defamation";2;5;5;1;5;4;3;3;7;5;7;8;11;5
"Other countries, total";"Trafic law, total";492;502;554;591;636;674;752;722;781;867;1093;1423;1487;1298
"Other countries, total";"Traffic acc., unspecified";0;0;0;0;0;1;0;0;1;1;1;0;1;0
"Other countries, total";"Traffic acc. under influence of alcohol";10;4;4;4;5;7;4;5;7;9;9;6;13;9
"Other countries, total";"Drunken driving";30;41;26;46;44;50;55;38;40;68;83;84;80;83
"Other countries, total";"Vehicle defect offences";25;19;28;26;18;19;11;10;11;10;10;17;18;16
"Other countries, total";"Road Traffic Act, other";427;438;496;515;569;597;682;669;722;779;990;1316;1375;1190
"Other countries, total";"Special laws, total";189;180;245;321;354;456;460;493;497;538;744;613;746;804
"Other countries, total";"Euphoriants Act";98;101;119;97;125;159;155;148;134;196;253;203;193;208
"Other countries, total";"Firearms Act";15;11;10;19;25;23;19;27;28;31;37;41;45;31
"Other countries, total";"Income Tax And Fiscal Acts";1;5;5;8;15;8;12;15;8;8;14;22;26;27
"Other countries, total";"Other special laws.";50;25;68;140;138;207;225;220;238;205;322;244;309;400
"Other countries, total";"Health and social security legislation";3;6;3;7;4;5;1;7;2;7;8;27;117;17
"Other countries, total";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, total";"Environmental Act";1;3;5;8;6;10;2;4;2;2;8;8;11;21
"Other countries, total";"Other legislation applying to animals, hunting, etc";4;10;7;9;5;5;11;9;4;5;8;6;7;8
"Other countries, total";"Employ. and transport legislation, other";5;10;10;14;11;12;11;15;38;26;47;38;21;41
"Other countries, total";"Companies Act";2;0;1;1;2;0;1;1;0;0;1;4;5;6
"Other countries, total";"Other legislation applying to the Armed Forces";4;4;8;5;14;12;9;32;35;40;31;12;6;30
"Other countries, total";"Legislation applying to public utilities";3;1;0;0;0;1;0;0;0;0;0;0;0;1
"Other countries, total";"Other legislation relating to gambling, licencing, trade";3;4;9;13;8;14;14;13;8;14;14;7;6;14
"Other countries, total";"Other special laws";0;0;0;0;1;0;0;2;0;4;1;1;0;0
"Other countries, western";"Criminal decisions total";62;62;69;66;82;81;108;115;136;117;143;154;165;170
"Other countries, western";"Criminal code, total";19;16;17;18;19;20;25;20;21;23;16;21;15;30
"Other countries, western";"Sexual offenses, total";0;0;0;0;0;0;0;0;0;0;0;0;0;2
"Other countries, western";"Incest, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Rape, etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Heterosexual offences with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Heterosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Sexual offence, other (New from 2013)";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Homosexual offences, with children under 12 years";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Homosexual offences, other";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Offences against decency, by  pawing";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Offences against decency, by removing clothes";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Offences against decency, other";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Other countries, western";"Prostitution, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Other countries, western";"Crimes of violence, total";4;1;1;5;1;0;3;4;2;3;3;5;5;5
"Other countries, western";"Assault against public servant while in discharge of his duties";1;0;0;1;0;0;1;0;1;2;1;2;2;1
"Other countries, western";"Disturbance of public order";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Attempted homicide";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Coercive control etc";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Common assault";2;1;1;3;0;0;1;3;1;1;2;3;2;1
"Other countries, western";"Grievous assault";1;0;0;0;1;0;1;0;0;0;0;0;0;2
"Other countries, western";"Particularly grievous assault";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Assault, unprovoked";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Intentional bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Homicide by negligence/bodily harm";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Other offences against life and limb";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Offences against personal liberty";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Threats";0;0;0;1;0;0;0;1;0;0;0;0;1;1
"Other countries, western";"Offenses against property, total";12;14;14;13;17;19;22;16;14;19;13;17;9;22
"Other countries, western";"Forgery";0;0;1;0;0;0;10;0;2;2;0;0;0;1
"Other countries, western";"Cheque forgery";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Arson";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Burglary (banks, shops, etc.)";0;0;0;0;0;0;0;0;2;0;1;1;1;0
"Other countries, western";"Household burglary";0;0;0;0;1;0;1;0;1;0;1;1;1;1
"Other countries, western";"Burglary (uninhabited buildings)";0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Theft from cars, boats, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Shoplifting, etc.";8;9;11;7;11;14;8;10;7;12;9;9;4;16
"Other countries, western";"Other theft";2;3;0;1;2;2;1;3;1;1;0;2;1;1
"Other countries, western";"Theft of vehicle";1;0;0;1;0;1;0;0;0;0;0;0;0;0
"Other countries, western";"Theft of mopeds";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Theft of bicycles";0;0;0;0;1;0;0;1;0;0;1;0;0;0
"Other countries, western";"Theft of other objects";1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Larceny by finding";0;0;1;1;0;0;1;0;0;1;0;1;1;1
"Other countries, western";"Embezzlement";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Fraud";0;0;0;2;1;0;0;2;1;2;1;1;0;1
"Other countries, western";"Fraud by cheque";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Fraud of agent";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Blackmail and usury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Fraud against creditors";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Handling stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Other countries, western";"Robbery";0;0;0;1;0;1;0;0;0;0;0;2;0;1
"Other countries, western";"Gross tax evasion, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Malicious damage to property";0;0;1;0;1;1;1;0;0;1;0;0;0;0
"Other countries, western";"Feloniously receiving stolen goods";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Misappropriations and offences against property";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Other offences, total";4;2;2;0;1;1;0;2;5;1;0;0;1;3
"Other countries, western";"Offences against public authority, etc.";1;0;0;0;0;0;0;1;0;0;0;0;0;2
"Other countries, western";"Offences by public servants";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Perjury";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Perjury, other";1;0;1;0;1;0;0;1;2;0;0;0;0;0
"Other countries, western";"Offences concerning money and evidence";0;1;0;0;0;0;0;0;2;1;0;0;0;0
"Other countries, western";"Trafficking of drugs, etc.";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Smuggling, etc. of drugs";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"General public offences";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Illegal trade, etc.";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Family relation offences";0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Other countries, western";"Homicide by negligence in traffic accidents";0;1;0;0;0;0;0;0;0;0;0;0;1;0
"Other countries, western";"Warnings";1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Privacy infringement, defamation";0;0;0;0;0;1;0;0;1;0;0;0;0;0
"Other countries, western";"Trafic law, total";41;40;49;39;51;44;51;58;81;63;74;90;103;89
"Other countries, western";"Traffic acc., unspecified";0;0;0;0;0;0;0;0;1;1;0;0;0;0
"Other countries, western";"Traffic acc. under influence of alcohol";1;1;1;1;0;0;0;2;0;0;1;1;0;1
"Other countries, western";"Drunken driving";4;4;2;9;2;5;7;2;3;3;6;7;8;3
"Other countries, western";"Vehicle defect offences";0;1;2;2;3;0;1;1;2;1;2;1;0;2
"Other countries, western";"Road Traffic Act, other";36;34;44;27;46;39;43;53;75;58;65;81;95;83
"Other countries, western";"Special laws, total";6;11;8;12;18;24;38;47;40;39;63;50;57;58
"Other countries, western";"Euphoriants Act";4;6;4;5;10;12;18;16;15;22;23;24;9;23
"Other countries, western";"Firearms Act";0;0;0;1;0;3;3;4;0;1;4;6;6;2
"Other countries, western";"Income Tax And Fiscal Acts";0;1;0;1;4;0;3;1;2;0;0;2;2;4
"Other countries, western";"Other special laws.";1;2;2;2;2;5;5;19;14;13;27;13;28;22
"Other countries, western";"Health and social security legislation";0;0;0;0;0;0;0;1;1;1;2;2;9;1
"Other countries, western";"Building and housing legislation";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Environmental Act";0;0;0;1;0;1;0;0;0;0;2;0;0;1
"Other countries, western";"Other legislation applying to animals, hunting, etc";0;2;1;2;0;0;5;0;0;0;1;1;0;0
"Other countries, western";"Employ. and transport legislation, other";1;0;0;0;1;2;2;1;5;1;1;2;1;2
"Other countries, western";"Companies Act";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Other countries, western";"Other legislation applying to the Armed Forces";0;0;0;0;0;0;0;1;2;0;1;0;0;2
"Other countries, western";"Legislation applying to public utilities";0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Other countries, western";"Other legislation relating to gambling, licencing, trade";0;0;0;0;1;0;2;3;1;0;2;0;2;1
"Other countries, western";"Other special laws";0;0;0;0;0;0;0;1;0;1;0;0;0;0
"Other countries, non-western";"Criminal decisions total";882;911;1023;1110;1151;1273;1345;1371;1419;1583;1950;2168;2329;2247
"Other countries, non-western";"Criminal code, total";321;372;371;377;360;360;369;403;381;433;429;476;469;497
"Other countries, non-western";"Sexual offenses, total";1;9;4;9;3;8;10;17;18;13;17;28;25;22
"Other countries, non-western";"Incest, etc.";0;3;0;1;0;0;0;0;0;0;0;0;0;1
"Other countries, non-western";"Rape, etc";0;4;2;3;1;4;3;13;7;7;5;2;4;4
"Other countries, non-western";"Heterosexual offences with children under 12 years";0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Other countries, non-western";"Sexual offence against child under 12 years (New from 2013)";0;0;0;0;0;0;1;0;1;0;1;0;1;0
"Other countries, non-western";"Heterosexual offences, other";0;1;0;1;0;0;0;0;0;0;0;0;0;0
"Other countries, non-western";"Sexual offence against child under 15 years (New from 2013)";0;0;0;0;0;1;1;1;1;0;1;1;0;0
